Date,Co_concentration,UNITS,Aoi_value,Obs_count
01/01/2022,0.1,ppm,1,19
01/02/2022,0.2,ppm,2,24
01/03/2022,0.9,ppm,10,24
01/04/2022,1,ppm,11,17
01/05/2022,0.3,ppm,3,10
01/06/2022,0.4,ppm,5,24
01/07/2022,0.6,ppm,7,24
01/08/2022,0.6,ppm,7,24
01/09/2022,0.3,ppm,3,24
01/10/2022,0.4,ppm,5,18
01/11/2022,0.7,ppm,8,18
01/12/2022,0.5,ppm,6,24
01/13/2022,0.6,ppm,7,24
01/14/2022,0.7,ppm,8,24
01/15/2022,0.4,ppm,5,24
01/16/2022,0.5,ppm,6,24
01/17/2022,0.5,ppm,6,24
01/18/2022,0.9,ppm,10,17
01/19/2022,0.2,ppm,2,24
01/20/2022,0.4,ppm,5,24
01/21/2022,0.6,ppm,7,24
01/22/2022,0.3,ppm,3,24
01/23/2022,0.4,ppm,5,24
01/24/2022,0.4,ppm,5,18
01/25/2022,0.7,ppm,8,24
01/26/2022,0.1,ppm,1,24
01/27/2022,0.6,ppm,7,24
01/28/2022,0.3,ppm,3,24
01/29/2022,0.6,ppm,7,24
01/30/2022,0.7,ppm,8,24
01/31/2022,0.8,ppm,9,18
02/01/2022,0.7,ppm,8,24
02/02/2022,0.2,ppm,2,24
02/03/2022,0.3,ppm,3,24
02/04/2022,0.5,ppm,6,24
02/05/2022,0.5,ppm,6,24
02/06/2022,0.6,ppm,7,24
02/07/2022,0.4,ppm,5,17
02/08/2022,0.7,ppm,8,24
02/09/2022,0.5,ppm,6,24
02/10/2022,0.3,ppm,3,18
02/11/2022,0.3,ppm,3,24
02/12/2022,0.4,ppm,5,24
02/13/2022,0.5,ppm,6,24
02/14/2022,0.4,ppm,5,17
02/15/2022,0.4,ppm,5,24
02/16/2022,0.5,ppm,6,24
02/17/2022,0.2,ppm,2,24
02/18/2022,0.6,ppm,7,24
02/19/2022,0.3,ppm,3,24
02/20/2022,0.5,ppm,6,24
02/21/2022,0.3,ppm,3,24
02/22/2022,0.2,ppm,2,10
02/23/2022,0.2,ppm,2,20
02/24/2022,0.3,ppm,3,24
02/25/2022,0.4,ppm,5,24
02/26/2022,0.3,ppm,3,24
02/27/2022,0.2,ppm,2,24
02/28/2022,0.3,ppm,3,24
03/01/2022,0.3,ppm,3,17
03/02/2022,0.3,ppm,3,24
03/03/2022,0.3,ppm,3,24
03/04/2022,0.2,ppm,2,24
03/05/2022,0.2,ppm,2,24
03/06/2022,0.4,ppm,5,24
03/07/2022,0.4,ppm,5,18
03/08/2022,0.2,ppm,2,24
03/09/2022,0.4,ppm,5,24
03/10/2022,0.2,ppm,2,17
03/11/2022,0.2,ppm,2,24
03/12/2022,0.3,ppm,3,24
03/13/2022,0.5,ppm,6,24
03/14/2022,0.2,ppm,2,18
03/15/2022,0.4,ppm,5,24
03/16/2022,0.4,ppm,5,24
03/17/2022,0.2,ppm,2,24
03/18/2022,0.3,ppm,3,24
03/19/2022,0.3,ppm,3,24
03/20/2022,0.2,ppm,2,24
03/21/2022,0.1,ppm,1,16
03/22/2022,0.2,ppm,2,24
03/23/2022,0.2,ppm,2,24
03/24/2022,0.3,ppm,3,24
03/25/2022,0.2,ppm,2,24
03/26/2022,0.3,ppm,3,24
03/27/2022,0.3,ppm,3,24
03/28/2022,0.3,ppm,3,10
03/30/2022,0.1,ppm,1,3
03/31/2022,0.2,ppm,2,7
04/05/2022,0.2,ppm,2,6
04/06/2022,0.2,ppm,2,24
04/07/2022,0.2,ppm,2,24
04/08/2022,0.3,ppm,3,24
04/09/2022,0.3,ppm,3,24
04/10/2022,0.2,ppm,2,24
04/11/2022,0.3,ppm,3,16
04/12/2022,0.2,ppm,2,24
04/13/2022,0.2,ppm,2,24
04/14/2022,0.3,ppm,3,24
04/15/2022,0.3,ppm,3,24
04/16/2022,0.3,ppm,3,24
04/17/2022,0.2,ppm,2,24
04/18/2022,0.2,ppm,2,15
04/19/2022,0.2,ppm,2,24
04/20/2022,0.1,ppm,1,7
04/21/2022,0.1,ppm,1,3
04/22/2022,0.2,ppm,2,24
04/23/2022,0.2,ppm,2,24
04/24/2022,0.2,ppm,2,24
04/25/2022,0.1,ppm,1,18
04/26/2022,0.2,ppm,2,24
04/27/2022,0.2,ppm,2,24
04/28/2022,0.2,ppm,2,24
04/29/2022,0.2,ppm,2,24
04/30/2022,0.2,ppm,2,24
05/01/2022,0.2,ppm,2,24
05/02/2022,0.1,ppm,1,18
05/03/2022,0.2,ppm,2,24
05/04/2022,0.1,ppm,1,24
05/05/2022,0.2,ppm,2,24
05/06/2022,0.2,ppm,2,24
05/07/2022,0.2,ppm,2,24
05/08/2022,0.1,ppm,1,24
05/09/2022,0.1,ppm,1,17
05/10/2022,0.1,ppm,1,8
05/11/2022,0.1,ppm,1,2
05/12/2022,0.1,ppm,1,24
05/13/2022,0.1,ppm,1,24
05/14/2022,0.1,ppm,1,24
05/15/2022,0.1,ppm,1,24
05/16/2022,0.2,ppm,2,17
05/17/2022,0.2,ppm,2,24
05/18/2022,0.2,ppm,2,24
05/19/2022,0.3,ppm,3,24
05/20/2022,0.1,ppm,1,24
05/21/2022,0.1,ppm,1,24
05/22/2022,0.1,ppm,1,24
05/23/2022,0.1,ppm,1,18
05/24/2022,0.1,ppm,1,24
05/25/2022,0.1,ppm,1,24
05/26/2022,0.1,ppm,1,24
05/27/2022,0.2,ppm,2,24
05/28/2022,0.2,ppm,2,24
05/29/2022,0.1,ppm,1,24
05/30/2022,0.1,ppm,1,24
05/31/2022,0.1,ppm,1,18
06/01/2022,0.1,ppm,1,24
06/02/2022,0.1,ppm,1,24
06/03/2022,0.2,ppm,2,24
06/04/2022,0.2,ppm,2,24
06/05/2022,0.1,ppm,1,24
06/06/2022,0.1,ppm,1,18
06/07/2022,0.1,ppm,1,24
06/08/2022,0.1,ppm,1,7
06/10/2022,0.3,ppm,3,11
06/11/2022,0.3,ppm,3,24
06/12/2022,0.2,ppm,2,24
06/13/2022,0.2,ppm,2,17
06/14/2022,0.2,ppm,2,24
06/15/2022,0.2,ppm,2,24
06/16/2022,0.2,ppm,2,17
06/17/2022,0.2,ppm,2,24
06/18/2022,0.2,ppm,2,24
06/19/2022,0.2,ppm,2,24
06/20/2022,0.2,ppm,2,24
06/21/2022,0.2,ppm,2,17
06/22/2022,0.2,ppm,2,24
06/23/2022,0.3,ppm,3,24
06/24/2022,0.3,ppm,3,24
06/25/2022,0.2,ppm,2,24
06/26/2022,0.2,ppm,2,24
06/27/2022,0.2,ppm,2,17
06/28/2022,0.2,ppm,2,17
06/29/2022,0.2,ppm,2,16
06/30/2022,0.1,ppm,1,18
07/01/2022,0.1,ppm,1,2
